,xi,mean,std_dev
83,0.2793138227812645,1.538097286788684,0.01012171310859633
84,0.287682072451781,1.542458680288064,0.010123674937506455
85,0.2959808752664761,1.5467889821336485,0.010125664864402811
86,0.30421137440299156,1.551088591196958,0.01012768215065254
87,0.31237468504215243,1.5553578998114972,0.01012972607672849
88,0.32047189527477177,1.5595972938566547,0.010131795941662856
89,0.32850406697203605,1.5638071528671844,0.010133891062512572
90,0.3364722366212129,1.5679878501398434,0.010136010773891284
91,0.3443774161283261,1.5721397528283205,0.010138154427424117
92,0.3522205935893523,1.576263222046805,0.010140321391333489
93,0.3600027340314072,1.5803586129745781,0.010142511049916344
94,0.3677247801253175,1.5844262749469635,0.010144722803119606
95,0.3753876528708866,1.5884665515654888,0.010146956066128978
96,0.3829922522561059,1.5924797807876985,0.010149210268886322
97,0.39053945789148875,1.596466295039363,0.010151484855740849
98,0.3980301296206463,1.6004264212909902,0.010153779284998872
99,0.4054651081081644,1.604360481174922,0.010156093028564997
