1 1 
aeromesh
body_mesh 1 wing 365 
11094 19.62846102027106 18.995281818494778 -1.1902870172664175 
11095 19.86810185599347 18.933421485174634 -1.1994525019489277 
11096 20.108146191313907 18.872720556900518 -1.2103734191499154 
11097 20.348648073035744 18.81314578315508 -1.2236018708313559 
11098 20.589827950610896 18.754640367499196 -1.2384310146085022 
11099 20.832062191540473 18.697132299065697 -1.2530165615466964 
11100 21.075397093319502 18.64053984790325 -1.2688761428042077 
11101 21.320066099953884 18.584776452208228 -1.2858093230400653 
11102 21.56639173766294 18.529755147033505 -1.302700330547047 
11107 19.83766663128032 18.66449585512511 -1.1497358638559585 
11108 20.083952245910318 18.601638837834226 -1.1608622819455812 
11109 20.33049225429043 18.540034297350495 -1.1743375371814786 
11110 20.577521890933077 18.479619262688914 -1.1894241247102846 
11111 20.825447578376277 18.4203139993342 -1.2041434123608314 
11112 21.07430204446904 18.362028029429744 -1.22033217000582 
11113 21.324368208353526 18.304665655039905 -1.2375097107463136 
11114 21.575986536114897 18.24813075877632 -1.2545944842908012 
11120 20.060179446470876 18.327771105960853 -1.110809860847369 
11121 20.312829685600793 18.264544685401884 -1.1246187010757072 
11122 20.56574045519865 18.20262471831513 -1.140040656450807 
11123 20.819347617668143 18.141923960632106 -1.1549765391153515 
11124 21.073673370465336 18.0823434534304 -1.1715649836645128 
11125 21.32905017282777 18.023778669133815 -1.1890550276667096 
11126 21.585838520632752 17.966124665765257 -1.206392906666546 
11132 20.03677852037317 18.05097935705117 -1.0602219488951572 
11133 20.29562274277044 17.986563556861896 -1.0744574658152677 
11134 20.554455216566467 17.923565783205806 -1.0902965666616233 
11135 20.813740158097527 17.86189161763435 -1.105538869170321 
11136 21.073493182226574 17.80143402929621 -1.1225997856468068 
11137 21.3340959097091 17.74208011896 -1.140473607428993 
11138 21.59593117235164 17.68371660248475 -1.1581267280515746 
11144 20.013707693689987 17.771184228415283 -1.009117176865254 
11145 20.27884035844985 17.706028979054707 -1.0238771832745972 
11146 20.543643457355536 17.642395262256002 -1.040217213525688 
11147 20.808607964604924 17.580182004845394 -1.0558611475992554 
11148 21.073747818141037 17.519274721557537 -1.073467873907218 
11149 21.339493014724045 17.45955281884136 -1.091797775767029 
11150 21.6062511890321 17.40089537590063 -1.1098291646358462 
11157 20.262453323386783 17.422841199590913 -0.9728967277503657 
11158 20.533286041774947 17.35903410497952 -0.9898242115164078 
11159 20.80393850130831 17.29673447455012 -1.0059714664559651 
11160 21.074428919866453 17.235821148390805 -1.0241986643265464 
11161 21.345234468469215 17.17616668785906 -1.043058794824997 
11162 21.616790250818905 17.117643415860496 -1.0615331651903117 
11171 20.799726021833784 17.01153068389967 -0.9559070404146957 
11172 21.07553425182363 16.951061057754117 -0.9748289359449704 
11173 21.351318906201843 16.891913345000034 -0.994293097150184 
11174 21.627545384219545 16.833954239365603 -1.013274653081723 
11184 21.077067856027185 16.66496287892847 -0.9253940896358888 
