
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   243     84  4.4E-02    252  4.3E-03  3.5E-01  1.8467111E+00    289 1.8E+02
   244     77  9.1E-07    253  4.3E-03  3.5E-01  1.8467110E+00    277 1.8E+02
   245     95  1.3E-06    254  4.3E-03  3.5E-01  1.8467109E+00    284 1.8E+02
   246     94  9.2E-03    255  4.3E-03  3.5E-01  1.8459091E+00    305 1.8E+02
   247    101  7.4E-03    256  4.3E-03  3.4E-01  1.8453282E+00    347 1.8E+02   R
   248     22  4.5E-01    257  2.5E-03  3.6E-01  1.8390174E+00    343 1.8E+02 s
   249     39  2.3E-02    258  2.5E-03  3.6E-01  1.8386326E+00    332 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   250     41  3.6E-02    259  2.4E-03  3.5E-01  1.8380060E+00    322 1.8E+02
   251     35  1.1E-01    260  2.1E-03  3.2E-01  1.8357281E+00    330 1.8E+02
   252     43  1.9E-01    261  1.8E-03  2.9E-01  1.8318087E+00    326 1.8E+02
   253     43  1.4E-01    262  1.6E-03  2.7E-01  1.8291137E+00    323 1.8E+02
   254     84  2.5E-01    263  1.5E-03  2.3E-01  1.8266251E+00    307 1.8E+02
   255    122  1.9E-03    264  1.5E-03  2.3E-01  1.8265709E+00    340 1.8E+02
   256     69  1.6E-03    265  1.5E-03  2.3E-01  1.8264991E+00    322 1.8E+02
   257     45  5.9E-02    266  1.4E-03  2.3E-01  1.8248962E+00    313 1.8E+02
   258     78  1.4E-01    267  1.4E-03  2.0E-01  1.8212318E+00    311 1.8E+02
   259     79  9.5E-03    268  1.4E-03  2.0E-01  1.8209058E+00    313 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   260     55  9.0E-02    269  1.3E-03  1.9E-01  1.8183183E+00    310 1.8E+02
   261     82  2.0E-01    270  1.1E-03  1.7E-01  1.8131287E+00    320 1.8E+02
   262     53  1.2E-01    271  1.0E-03  1.7E-01  1.8110500E+00    315 1.8E+02
   263     11  1.1E-04    273  1.0E-03  1.7E-01  1.8110480E+00    317 1.8E+02  M
   264      6  1.1E-04    275  1.0E-03  1.7E-01  1.8110460E+00    318 1.8E+02  M
