
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   134     92  3.2E-02    135  1.2E-01  2.4E-01  1.3965933E+00    249 8.8E+00
   135    131  2.8E-03    136  1.2E-01  2.2E-01  1.3954279E+00    288 8.8E+00
   136    122  1.2E-04    137  1.2E-01  2.5E-01  1.3953752E+00    324 8.8E+00
   137     79  7.6E-03    138  1.2E-01  2.5E-01  1.3924017E+00    288 8.8E+00
   138     71  1.4E-04    139  1.2E-01  2.7E-01  1.3923464E+00    291 8.8E+00
   139     78  1.7E-04    140  1.2E-01  2.2E-01  1.3922760E+00    276 8.8E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   140     80  1.1E-04    141  1.2E-01  2.5E-01  1.3922282E+00    254 8.8E+00
   141    118  1.3E-04    142  1.2E-01  2.2E-01  1.3921734E+00    312 8.8E+00
   142    101  1.5E-04    143  1.2E-01  2.6E-01  1.3921132E+00    241 8.8E+00
   143     70  1.0E-04    144  1.2E-01  2.5E-01  1.3920712E+00    275 8.8E+00
   144     71  1.6E-04    145  1.2E-01  2.3E-01  1.3920071E+00    292 8.8E+00
   145     79  1.9E-04    146  1.2E-01  2.3E-01  1.3919299E+00    234 8.8E+00
   146     62  1.0E-04    147  1.2E-01  2.4E-01  1.3918853E+00    275 8.8E+00
   147     73  1.1E-04    148  1.2E-01  2.2E-01  1.3918379E+00    225 8.8E+00
   148     42  4.8E-05    149  1.2E-01  2.2E-01  1.3918166E+00    240 8.8E+00
   149     56  5.3E-05    150  1.2E-01  2.3E-01  1.3917933E+00    221 8.8E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   150     23  3.1E-05    151  1.2E-01  2.3E-01  1.3917797E+00    224 8.8E+00
   151     34  3.3E-05    152  1.2E-01  2.3E-01  1.3917649E+00    218 8.8E+00
   152     22  3.0E-05    153  1.2E-01  2.3E-01  1.3917516E+00    225 8.8E+00
   153     24  3.0E-05    154  1.2E-01  2.3E-01  1.3917382E+00    212 8.8E+00
   154     23  3.2E-05    155  1.2E-01  2.4E-01  1.3917240E+00    216 8.8E+00
   155     33  2.9E-05    156  1.2E-01  2.3E-01  1.3917108E+00    215 8.8E+00
   156     31  3.6E-05    157  1.2E-01  2.4E-01  1.3916944E+00    217 8.8E+00
   157     37  3.0E-05    158  1.2E-01  2.4E-01  1.3916809E+00    209 8.8E+00
   158     31  3.8E-05    159  1.2E-01  2.4E-01  1.3916634E+00    221 8.8E+00
   159     44  2.8E-05    160  1.2E-01  2.4E-01  1.3916509E+00    200 8.8E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   160     41  4.5E-05    161  1.2E-01  2.4E-01  1.3916298E+00    218 8.8E+00
   161      8  2.5E-05    163  1.2E-01  2.4E-01  1.3916185E+00    221 8.8E+00  M
   162      6  2.3E-05    165  1.2E-01  2.4E-01  1.3916085E+00    218 8.8E+00  M
   163     28  2.2E-05    167  1.2E-01  2.4E-01  1.3915985E+00    217 8.8E+00  M
   164     17  2.4E-05    169  1.2E-01  2.5E-01  1.3915876E+00    215 8.8E+00  M
   165    466  2.6E-05    171  1.2E-01  4.9E-01  1.3915758E+00    387 8.8E+00  MR
   166     47  6.8E-02    172  1.1E-01  5.7E-01  1.6057068E+00    367 2.0E+01 s
   167     50  7.6E-02    173  1.0E-01  3.0E-01  1.5568528E+00    341 2.0E+01
   168     82  7.3E-02    174  9.7E-02  2.6E-01  1.5141327E+00    297 2.0E+01
   169     91  3.4E-03    175  9.6E-02  3.6E-01  1.5121718E+00    332 2.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   170    124  6.9E-03    176  9.6E-02  3.2E-01  1.5083571E+00    306 2.0E+01
   171     97  4.0E-02    177  9.3E-02  2.2E-01  1.4893415E+00    305 2.0E+01
   172    129  1.4E-04    178  9.3E-02  2.2E-01  1.4892711E+00    284 2.0E+01
   173     97  8.5E-05    179  9.3E-02  1.9E-01  1.4892291E+00    268 2.0E+01
   174    131  2.2E-05    180  9.3E-02  2.1E-01  1.4892178E+00    306 2.0E+01
   175    106  3.3E-05    181  9.3E-02  2.0E-01  1.4892013E+00    297 2.0E+01
   176    100  2.8E-05    182  9.3E-02  2.1E-01  1.4891871E+00    257 2.0E+01
   177    160  1.4E-05    183  9.3E-02  2.1E-01  1.4891797E+00    342 2.0E+01
   178    115  9.9E-05    184  9.3E-02  1.9E-01  1.4891284E+00    264 2.0E+01
   179     84  1.7E-05    185  9.3E-02  1.9E-01  1.4891192E+00    305 2.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   180     93  2.7E-05    186  9.3E-02  2.0E-01  1.4891053E+00    235 2.0E+01
   181    159  2.6E-05    187  9.3E-02  2.0E-01  1.4890907E+00    288 2.0E+01
   182      8  3.4E-05    189  9.3E-02  2.1E-01  1.4890741E+00    287 2.0E+01  M
   183    121  3.9E-05    190  9.3E-02  2.2E-01  1.4890553E+00    240 2.0E+01
   184    126  3.3E-05    191  9.3E-02  2.0E-01  1.4890377E+00    275 2.0E+01
   185      4  3.5E-05    193  9.3E-02  2.1E-01  1.4890209E+00    274 2.0E+01  M
   186    127  3.8E-05    194  9.3E-02  2.0E-01  1.4890024E+00    239 2.0E+01
   187     98  7.4E-05    195  9.3E-02  1.9E-01  1.4889631E+00    258 2.0E+01
   188     80  2.6E-05    196  9.3E-02  2.1E-01  1.4889501E+00    231 2.0E+01
   189     87  6.6E-05    197  9.3E-02  2.0E-01  1.4889147E+00    245 2.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   190     89  2.6E-05    198  9.3E-02  2.0E-01  1.4889013E+00    260 2.0E+01
   191     80  3.0E-05    199  9.3E-02  1.9E-01  1.4888848E+00    242 2.0E+01
   192     70  1.9E-05    200  9.3E-02  2.0E-01  1.4888746E+00    246 2.0E+01
   193     75  2.8E-05    201  9.3E-02  1.9E-01  1.4888594E+00    240 2.0E+01
   194     65  2.3E-05    202  9.3E-02  1.9E-01  1.4888469E+00    230 2.0E+01
   195     81  2.0E-05    203  9.3E-02  1.9E-01  1.4888356E+00    219 2.0E+01
   196     73  2.8E-05    204  9.3E-02  2.0E-01  1.4888201E+00    243 2.0E+01
   197     82  2.5E-05    205  9.3E-02  2.0E-01  1.4888062E+00    224 2.0E+01
   198     62  2.4E-05    206  9.3E-02  1.9E-01  1.4887931E+00    221 2.0E+01
   199     68  2.4E-05    207  9.3E-02  2.0E-01  1.4887795E+00    220 2.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   200     38  2.8E-05    208  9.3E-02  2.0E-01  1.4887638E+00    225 2.0E+01
   201     54  2.2E-05    209  9.3E-02  2.0E-01  1.4887514E+00    226 2.0E+01
   202     48  3.0E-05    210  9.3E-02  1.9E-01  1.4887345E+00    218 2.0E+01
   203     38  2.5E-05    211  9.3E-02  2.0E-01  1.4887206E+00    212 2.0E+01
   204     50  2.5E-05    212  9.3E-02  2.0E-01  1.4887063E+00    211 2.0E+01
   205     66  2.9E-05    213  9.3E-02  1.9E-01  1.4886896E+00    222 2.0E+01
   206    485  3.9E-05    214  9.3E-02  3.9E-01  1.4886673E+00    378 2.0E+01   R
   207     79  5.4E-02    215  8.8E-02  4.1E-01  1.7295603E+00    356 3.9E+01 s
   208     46  6.7E-02    216  8.3E-02  4.7E-01  1.6787799E+00    352 3.9E+01
   209     58  6.7E-02    217  7.8E-02  6.8E-01  1.6292423E+00    346 3.9E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   210     51  7.4E-02    218  7.2E-02  5.5E-01  1.5808139E+00    343 3.9E+01
   211     89  5.7E-02    219  6.9E-02  1.0E+00  1.5445467E+00    324 3.9E+01
   212     96  5.1E-02    220  6.5E-02  1.0E+00  1.5172412E+00    328 3.9E+01
   213     35  5.1E-02    221  6.2E-02  1.0E+00  1.4906931E+00    313 3.9E+01
   214     50  4.7E-02    222  5.9E-02  1.1E+00  1.4679804E+00    328 3.9E+01
   215     44  4.6E-02    223  5.7E-02  1.1E+00  1.4474491E+00    327 3.9E+01
   216     47  4.4E-02    224  5.4E-02  1.1E+00  1.4296202E+00    321 3.9E+01
   217     68  6.4E-02    225  5.1E-02  8.7E-01  1.4055741E+00    303 3.9E+01
   218    111  1.5E-04    226  5.1E-02  1.1E+00  1.4055166E+00    327 3.9E+01
   219     97  4.1E-03    227  5.1E-02  9.2E-01  1.4040355E+00    300 3.9E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   220     82  1.0E-04    228  5.1E-02  8.9E-01  1.4039964E+00    285 3.9E+01
   221     79  2.8E-05    229  5.1E-02  8.4E-01  1.4039854E+00    295 3.9E+01
   222     99  2.7E-05    230  5.1E-02  8.0E-01  1.4039746E+00    293 3.9E+01
   223     54  3.4E-05    231  5.1E-02  9.0E-01  1.4039607E+00    283 3.9E+01
   224     81  2.7E-05    232  5.1E-02  9.5E-01  1.4039501E+00    282 3.9E+01
   225     94  2.6E-05    233  5.1E-02  7.8E-01  1.4039399E+00    307 3.9E+01
   226     63  2.7E-05    234  5.1E-02  8.2E-01  1.4039288E+00    301 3.9E+01
   227     86  2.6E-05    235  5.1E-02  8.9E-01  1.4039182E+00    299 3.9E+01
   228     85  4.5E-05    236  5.1E-02  8.9E-01  1.4039004E+00    280 3.9E+01
   229     84  2.5E-05    237  5.1E-02  8.1E-01  1.4038901E+00    290 3.9E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   230     95  2.7E-05    238  5.1E-02  8.4E-01  1.4038788E+00    288 3.9E+01
   231     77  2.5E-05    239  5.1E-02  8.9E-01  1.4038682E+00    280 3.9E+01
   232     86  2.5E-05    240  5.1E-02  8.9E-01  1.4038580E+00    276 3.9E+01
   233     79  2.5E-05    241  5.1E-02  8.4E-01  1.4038476E+00    290 3.9E+01
   234     81  2.4E-05    242  5.1E-02  8.5E-01  1.4038372E+00    279 3.9E+01
   235     69  2.5E-05    243  5.1E-02  9.3E-01  1.4038268E+00    266 3.9E+01
   236     52  2.3E-05    244  5.1E-02  8.1E-01  1.4038170E+00    279 3.9E+01
   237     49  2.4E-05    245  5.1E-02  9.0E-01  1.4038067E+00    278 3.9E+01
   238     72  2.4E-05    246  5.1E-02  8.8E-01  1.4037965E+00    264 3.9E+01
   239     49  2.3E-05    247  5.1E-02  8.9E-01  1.4037865E+00    264 3.9E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   240     62  2.3E-05    248  5.1E-02  8.2E-01  1.4037766E+00    273 3.9E+01
   241     67  2.3E-05    249  5.1E-02  9.0E-01  1.4037667E+00    276 3.9E+01
   242     74  2.3E-05    250  5.1E-02  8.9E-01  1.4037568E+00    270 3.9E+01
   243     64  2.3E-05    251  5.1E-02  8.7E-01  1.4037471E+00    279 3.9E+01
   244     69  2.6E-05    252  5.1E-02  8.8E-01  1.4037360E+00    268 3.9E+01
   245     67  2.2E-05    253  5.1E-02  8.9E-01  1.4037265E+00    282 3.9E+01
   246     82  2.2E-05    254  5.1E-02  9.4E-01  1.4037170E+00    270 3.9E+01
   247    361  2.1E-05    255  5.1E-02  1.2E+00  1.4037078E+00    388 3.9E+01   R
   248     29  6.2E-02    256  4.8E-02  1.4E+00  1.4142749E+00    374 4.3E+01 s
   249     22  8.1E-02    257  4.4E-02  1.8E+00  1.3983122E+00    365 4.3E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   250     35  6.9E-02    258  4.1E-02  1.9E+00  1.3818185E+00    355 4.3E+01
   251     19  7.5E-02    259  3.9E-02  1.6E+00  1.3644213E+00    353 4.3E+01
   252     57  5.4E-04    260  3.9E-02  1.9E+00  1.3642935E+00    335 4.3E+01
   253     61  5.6E-04    261  3.9E-02  1.8E+00  1.3641559E+00    329 4.3E+01
   254    106  2.8E-04    262  3.8E-02  1.9E+00  1.3640764E+00    365 4.3E+01
   255     65  4.3E-04    263  3.8E-02  1.4E+00  1.3639842E+00    330 4.3E+01
   256     76  2.9E-04    264  3.8E-02  1.5E+00  1.3638997E+00    354 4.3E+01
   257     60  2.7E-04    265  3.8E-02  1.6E+00  1.3638234E+00    330 4.3E+01
   258     95  2.9E-04    266  3.8E-02  1.4E+00  1.3637403E+00    356 4.3E+01
   259     47  3.2E-04    267  3.8E-02  1.3E+00  1.3636481E+00    340 4.3E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   260     64  2.9E-04    268  3.8E-02  1.4E+00  1.3635646E+00    326 4.3E+01
   261     56  1.2E-04    269  3.8E-02  1.6E+00  1.3635297E+00    329 4.3E+01
   262     69  1.1E-04    270  3.8E-02  1.4E+00  1.3634963E+00    322 4.3E+01
   263     57  1.2E-04    271  3.8E-02  1.4E+00  1.3634617E+00    315 4.3E+01
   264     70  3.8E-05    272  3.8E-02  1.5E+00  1.3634499E+00    336 4.3E+01
