,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,0.431147,0.863265,3.750756,-3.403018,5,metal,80.528270,35.612777,72.987121
0,0.431162,0.863269,3.750695,-3.403018,5,metal,80.523875,35.610263,72.534677
0,7.387418,0.980415,1.303489,-3.057503,3,metal,5.879775,6.131204,170.914839
0,5.986300,0.980413,1.303578,-3.057503,3,metal,5.946896,6.131230,94.221555
0,4.849847,0.980413,1.303578,-3.057503,3,metal,6.044312,6.131230,105.327139
0,2.120956,0.970352,1.511711,-3.057503,4,metal,7.409039,6.182134,123.755058
0,2.120040,0.970357,1.511546,-3.057503,4,metal,7.410123,6.182090,85.633158
0,2.121009,0.970344,1.511972,-3.057503,4,metal,7.409118,6.182203,80.756332
0,2.087078,0.970341,1.512042,-3.057503,4,metal,7.455858,6.182222,86.764248
0,1.692579,0.970341,1.512042,-3.057503,4,metal,8.385779,6.182222,116.088013
0,1.371335,0.970341,1.512058,-3.057503,4,metal,10.299347,6.182226,78.445595
0,0.454451,0.958724,1.699264,-3.057503,5,metal,51.677344,30.126743,111.966175
0,0.454199,0.958737,1.698939,-3.057503,5,metal,51.714535,30.159772,81.892679
0,0.454303,0.958717,1.699431,-3.057503,5,metal,51.701855,30.146563,73.320221
0,0.453747,0.958737,1.698946,-3.057503,5,metal,51.785982,30.219903,72.773427
0,0.453732,0.958718,1.699406,-3.057503,5,metal,51.791862,30.222476,74.522619
0,0.387723,0.958715,1.699498,-3.057503,5,metal,64.666048,41.389179,70.865344
0,0.314145,0.958714,1.699516,-3.057503,5,metal,87.337197,63.047873,76.591641
0,7.389044,0.999948,0.105161,-4.284164,1,metal,5.655154,5.705396,20.824939
0,5.986297,0.999948,0.105162,-4.284164,1,metal,5.667974,5.705397,17.732800
0,4.849845,0.999948,0.105130,-4.284164,1,metal,5.728726,5.705382,17.062816
0,3.929149,0.999948,0.105127,-4.284164,1,metal,5.795967,5.705381,16.262112
0,3.183243,0.999948,0.105132,-4.284164,1,metal,5.941734,5.705383,16.762045
0,2.578923,0.999948,0.105162,-4.284164,1,metal,6.162789,5.705397,16.689822
0,2.089089,0.999948,0.105129,-4.284164,1,metal,6.639007,5.705381,15.214614
0,1.692665,0.999948,0.105130,-4.284164,1,metal,6.928314,5.705382,16.024573
0,1.371335,0.999948,0.105130,-4.284164,1,metal,7.608942,5.705382,14.833072
0,1.111003,0.999948,0.105162,-4.284164,1,metal,8.968103,5.705397,14.897677
0,0.900088,0.999948,0.105162,-4.284164,1,metal,11.389746,7.042327,14.648882
0,0.729214,0.999948,0.105163,-4.284164,1,metal,15.493320,10.729419,13.846697
0,0.590784,0.999948,0.105130,-4.284164,1,metal,22.158103,16.346575,15.303923
0,0.478677,0.999948,0.105129,-4.284164,1,metal,32.248725,24.899976,13.793927
0,0.387759,0.999948,0.105162,-4.284164,1,metal,45.703192,37.945688,17.880469
0,0.314145,0.999948,0.105132,-4.284164,1,metal,64.417530,57.812844,14.062134
0,0.254508,0.999736,0.105170,-4.284164,5,metal,101.509540,88.074776,92.197145
0,0.206192,0.999736,0.105170,-4.284164,5,metal,149.599011,134.187578,26.671996
0,0.167048,0.999736,0.105170,-4.284164,5,metal,220.879165,204.443123,27.258360
0,0.135335,0.999683,0.105171,-4.284164,7,metal,329.155771,311.477194,61.085016
0,7.389044,0.998929,0.525343,-3.246919,1,metal,5.726639,5.881760,17.386569
0,5.986281,0.998929,0.525327,-3.246919,1,metal,5.748723,5.881754,16.712204
0,4.849844,0.998929,0.525327,-3.246919,1,metal,5.838446,5.881754,15.784722
0,3.929150,0.998929,0.525327,-3.246919,1,metal,5.928518,5.881754,15.795230
0,3.183244,0.998929,0.525328,-3.246919,1,metal,6.061879,5.881754,15.615797
0,2.578924,0.998929,0.525346,-3.246919,1,metal,6.367742,5.881761,15.169644
0,2.089280,0.998929,0.525345,-3.246919,1,metal,6.797291,5.881761,14.848333
0,1.692667,0.998929,0.525330,-3.246919,1,metal,7.143914,5.881755,15.359854
0,1.371341,0.998929,0.525347,-3.246919,1,metal,7.996655,5.881762,13.890927
0,1.110996,0.998929,0.525248,-3.246919,1,metal,9.642889,5.881723,14.276839
0,0.900093,0.998929,0.525248,-3.246919,1,metal,12.526620,7.259883,14.405596
0,0.729214,0.998929,0.525343,-3.246919,1,metal,17.295353,11.061085,14.295815
0,0.590778,0.998929,0.525342,-3.246919,1,metal,24.772629,16.852263,14.150369
0,0.478633,0.998929,0.525345,-3.246919,1,metal,34.971614,25.674469,13.928013
0,0.387760,0.998929,0.525347,-3.246919,1,metal,85.471639,39.118456,28.901765
0,0.314146,0.996668,0.525347,-3.246919,3,metal,70.434776,59.559111,52.792430
0,0.254509,0.996668,0.525347,-3.246919,3,metal,102.211875,90.741897,27.664560
0,0.206192,0.994372,0.525347,-3.246919,5,metal,147.712672,138.155738,54.430674
0,7.388993,0.995902,1.105279,-2.890896,1,metal,5.897064,6.090193,15.159840
0,5.986300,0.995902,1.105272,-2.890896,1,metal,5.912166,6.090191,16.000801
0,4.849847,0.995902,1.105273,-2.890896,1,metal,5.974907,6.090191,14.721906
0,3.929142,0.995902,1.105272,-2.890896,1,metal,6.124457,6.090191,15.749176
0,3.183243,0.995902,1.105279,-2.890896,1,metal,6.237124,6.090193,14.760204
0,2.578922,0.995902,1.105274,-2.890896,1,metal,6.649274,6.090191,14.721835
0,2.089278,0.995902,1.105273,-2.890896,1,metal,6.990987,6.090191,14.638168
