rho_0,xi,gamma,zeta,lambda_star,pred_lam,pred_type,pred_lam_old,material,ply_angle,SR,AR,h,SHR,SAR,delta,n_stiff
0.25455682391069173,0.3600901124099951,0.25220871334999506,1421.9408401448986,27.076606881026116,20.109433492703086,global,1.2319559747654203,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.010000000000000004,1.0,0.020135983210269243,3
0.3203594957703218,0.3600901124099951,0.5113003460319312,1421.9408401448986,24.552168217667354,15.548497898294912,global,1.948489838158587,solvay5320,0.0,199.99999999999991,0.6313850355589192,1.0,0.010000000000000004,1.0,0.03189176505021903,3
0.4031720892550946,0.3600901124099951,1.0565640102268725,1421.9408401448986,24.80537072603175,13.53479000351896,global,3.079513437263962,solvay5320,0.0,199.99999999999991,0.7945974047018521,1.0,0.010000000000000004,1.0,0.05051080284471354,3
0.5073916512556096,0.3600901124099951,2.2129432261689788,1421.9408401448986,27.69420479170522,13.45767916385999,global,4.861950992484539,solvay5320,0.0,199.99999999999991,1.0,1.0,0.010000000000000004,1.0,0.08000000000000002,3
0.6385518606696083,0.3600901124099951,4.66179443958537,1421.9408401448986,33.18715290045384,15.01343590826938,global,7.665524297766614,solvay5320,0.0,199.99999999999991,1.2584989506418267,1.0,0.010000000000000004,1.0,0.12670556870132638,3
0.8036168465830881,0.3600901124099951,9.783327283954875,1421.9408401448986,42.33483724862686,18.06360596698319,global,12.067931556113846,solvay5320,0.0,199.99999999999991,1.583819608766579,1.0,0.010000000000000004,1.0,0.20067876424908168,3
0.16072336931661765,0.3600901124099951,0.09801163512062168,1421.9408401448986,49.098868661049366,43.251879898976476,global,0.7363003734451451,solvay5320,0.0,199.99999999999991,0.31676392175331586,1.0,0.010000000000000004,1.0,0.012040725854944897,5
0.20227019162858206,0.3600901124099951,0.18868171406275025,1421.9408401448986,37.754867582806376,29.814817686197337,global,1.1641903414704156,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.010000000000000004,1.0,0.019070337712844457,5
0.25455682391069173,0.3600901124099951,0.3715054315817622,1421.9408401448986,33.18891724393859,21.950455624343718,global,1.8390223004809823,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.010000000000000004,1.0,0.03020397481540386,5
0.3203594957703218,0.3600901124099951,0.7459002054668183,1421.9408401448986,32.30066990200424,17.83437324987398,global,2.900966207674648,solvay5320,0.0,199.99999999999991,0.6313850355589192,1.0,0.010000000000000004,1.0,0.04783764757532854,5
0.4031720892550946,0.3600901124099951,1.5193080227934932,1421.9408401448986,33.574178129805745,16.38160922669802,global,4.566921258874267,solvay5320,0.0,199.99999999999991,0.7945974047018521,1.0,0.010000000000000004,1.0,0.07576620426707031,5
0.5073916512556096,0.3600901124099951,3.116216418434631,1421.9408401448986,37.92586395647514,16.966268082003765,global,7.170146483888273,solvay5320,0.0,199.99999999999991,1.0,1.0,0.010000000000000004,1.0,0.12000000000000001,5
0.6385518606696083,0.3600901124099951,6.375155629775777,1421.9408401448986,46.387207305095224,19.215441015392,global,11.221692745116043,solvay5320,0.0,199.99999999999991,1.2584989506418267,1.0,0.010000000000000004,1.0,0.19005835305198954,5
0.16072336931661765,0.3600901124099951,0.1836941641607592,1421.9408401448986,42.64169698763662,46.56879396869241,global,41.89610807724405,solvay5320,0.0,199.99999999999991,0.31676392175331586,1.0,0.01778279410038924,1.0,0.012692039461101364,1
0.20227019162858206,0.3600901124099951,0.38089451073054664,1421.9408401448986,29.27994083025066,34.512877328218686,global,29.043943214070715,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.01778279410038924,1.0,0.02010190097373154,1
0.25455682391069173,0.3600901124099951,0.808046363580118,1421.9408401448986,20.824572470895482,28.687284005612554,global,22.248244031370316,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.01778279410038924,1.0,0.031837784935680014,1
0.3203594957703218,0.3600901124099951,1.7470962985911116,1421.9408401448986,16.795766580206514,27.58974768565996,global,19.990230634191867,solvay5320,0.0,199.99999999999991,0.6313850355589192,1.0,0.01778279410038924,1.0,0.05042530808082319,1
0.4031720892550946,0.3600901124099951,3.82998471729452,1421.9408401448986,15.730433850022536,30.596982421851664,local,21.649525224851796,solvay5320,0.0,199.99999999999991,0.7945974047018521,1.0,0.01778279410038924,1.0,0.07986459171650356,1
0.5073916512556096,0.3600901124099951,8.456742905183875,1421.9408401448986,17.32339255543386,37.71050383360675,local,27.27114293199726,solvay5320,0.0,199.99999999999991,1.0,1.0,0.01778279410038924,1.0,0.1264911064067353,1
0.6385518606696083,0.3600901124099951,18.65491391613887,1421.9408401448986,22.732345759376063,49.33145352282757,local,37.37126793925231,solvay5320,0.0,199.99999999999991,1.2584989506418267,1.0,0.01778279410038924,1.0,0.20033909466156724,1
0.8036168465830881,0.3600901124099951,40.72221779689634,1421.9408401448986,33.7742714302433,65.97145481010212,local,52.68076149498018,solvay5320,0.0,199.99999999999991,1.583819608766579,1.0,0.01778279410038924,1.0,0.3173009865275341,1
0.20227019162858206,0.3600901124099951,0.7354310006475859,1421.9408401448986,45.9565385547981,43.17844800706314,global,7.7601520059870195,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.01778279410038924,1.0,0.04020380194746308,3
0.25455682391069173,0.3600901124099951,1.531343705737245,1421.9408401448986,44.45519970533589,39.84942186158525,global,12.258668826408131,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.01778279410038924,1.0,0.06367556987136003,3
