,rho_0,xi,gamma,zeta,eig_FEA,eig_CF
0,0.666576236604645,0.999966735456365,0.06750637804982326,0.00028571428571428574,5.835233388300765,4.846798442345008
0,0.7219758725204357,0.999966735456365,0.06750637804982319,0.00028571428571428574,5.477631324570496,4.56915979654298
0,0.7819798124768794,0.9999667354563648,0.06750637804982718,0.00028571428571428574,5.190856261870346,4.357165224807382
0,0.846970723532132,0.999966735456365,0.06750637804982267,0.00028571428571428574,4.967122083277064,4.205398237656569
0,0.9173630764819176,0.999966735456365,0.06750637804982319,0.00028571428571428574,4.804753507298935,4.109981168399241
0,0.9936057890912945,0.999966735456365,0.06750637804982319,0.00028571428571428574,4.69997850855157,4.068476098235068
0,1.0761850890073335,0.999966735456365,0.06750637804982319,0.00028571428571428574,4.650387219253686,4.079822567105391
0,1.1656276146105535,0.999966735456365,0.0675063780498232,0.00028571428571428574,4.65750051488085,4.144310478797778
0,1.2625037735803741,0.999966735456365,0.0675063780498233,0.00028571428571428574,4.720796811344329,4.263587508026322
0,1.3674313805933858,0.9999667354563648,0.06750637804982344,0.00028571428571428574,4.840656567547308,4.440701198739561
0,1.4810795973533721,0.9999667354563648,0.06750637804982382,0.00028571428571428574,4.874183819157385,4.494919002993727
0,1.6041732000800897,0.9999667354563648,0.06750637804982425,0.00028571428571428574,4.648066086076336,4.3025880130603955
0,1.7374972016721482,0.9999667354563648,0.06750637804983246,0.00028571428571428574,4.481896736454651,4.169090152698502
0,1.881901858021206,0.999966735456365,0.06750637804982319,0.00028571428571428574,4.372145728850301,4.091014533834089
0,2.038308090404586,0.999966735456365,0.06750637804982319,0.00028571428571428574,4.316825388289061,4.066366314029068
0,2.207713358536879,0.9999667354563648,0.06750637804982498,0.00028571428571428574,4.31363464545336,4.094515727991692
0,2.3911980217351436,0.9999667354563648,0.06750637804982387,0.00028571428571428574,4.36082395280323,4.176181996989723
0,2.589932228765175,0.999966735456365,0.06750637804982326,0.00028571428571428574,4.351738984430634,4.177546152416235
0,2.8051833803078954,0.999966735456365,0.06750637804982312,0.00028571428571428574,4.252964688397957,4.095201962026936
0,3.038324211636777,0.999966735456365,0.06750637804982243,0.00028571428571428574,4.205301523728198,4.066392160043845
0,3.2908415470517003,0.9999667354563677,0.0675063780461809,0.00028571428571428574,4.208067506099511,4.09038065219435
0,3.5643457819047226,0.9999667354563648,0.06750637804983008,0.00028571428571428574,4.241626858319585,4.138375642773839
0,3.860581152672408,0.9999667354563648,0.06750637804983041,0.00028571428571428574,4.172533571867418,4.0774401417586805
0,4.181436860596881,0.9999667354563648,0.06750637804983071,0.00028571428571428574,4.151130288149437,4.069585212281356
0,4.528959119808963,0.9999667354563648,0.06750637804983094,0.00028571428571428574,4.174576522504788,4.11461015984981
0,4.90536420695077,0.9999667354559516,0.06750637858508124,0.00028571428571428574,4.135169202475981,4.071530410053546
0,5.313052602033248,0.9999667354387717,0.06750640083407768,0.00028571428571428574,4.125972558561547,4.074489102467662
0,5.754624261184224,0.9999667354546492,0.06750638027168128,0.00028571428571428574,4.127099507166762,4.080297712347033
0,6.232895268771777,0.9999667354563648,0.06750637804982403,0.00028571428571428574,4.10810895406374,4.06829288336688
0,6.750915728592061,0.9999667354563648,0.06750637804982397,0.00028571428571428574,4.112296960978646,4.0777665551083055
0,7.311989245654754,0.9999667354563642,0.06750637805083068,0.00028571428571428574,4.090187655954022,4.069412481789173
0,7.919693990865632,0.9999667354563646,0.06750637805037361,0.00028571428571428574,4.096337697381757,4.069222988072077
0,8.57790551951732,0.999966735456365,0.06750637804977505,0.00028571428571428574,4.096702836743979,4.078141093521314
0,9.290821487122034,0.9999667354563648,0.06750637804981417,0.00028571428571428574,4.118062904745214,4.067326755031056
0,10.062988419395152,0.9999667354563648,0.0675063780498332,0.00028571428571428574,4.088470844303142,4.06675510284141
0,10.89933070711154,0.9999667354563648,0.06750637804979429,0.00028571428571428574,4.086277795022285,4.069030743624635
0,11.80518201074556,0.9999667354563647,0.06750637805006035,0.00028571428571428574,4.087694805132039,4.070758065140338
0,13.848999571362626,0.9999667354563648,0.06750637804985368,0.00028571428571428574,4.0705831863241535,4.069390381707882
0,14.999999999999996,0.9999667354563648,0.06750637804996729,0.00028571428571428574,4.083315480589804,4.067439848962697
0,0.3,0.9999468058340303,0.09114222154811294,0.00028571428571428574,16.30594356048794,14.213696073313761
0,0.3249332182308123,0.9999468058340303,0.09114222154815138,0.00028571428571428574,14.51004932580622,12.440062481560673
0,0.351938654366109,0.9999468058340303,0.09114222154811294,0.00028571428571428574,12.954323031738342,10.933176591916386
0,0.3811885319433377,0.9999468058340303,0.09114222154811294,0.00028571428571428574,11.605752087004976,9.654537269638578
0,0.41286938812342516,0.9999468058340303,0.09114222154811294,0.00028571428571428574,10.436620151700808,8.571475110113303
0,0.4471832633064362,0.9999468058340303,0.09114222154811294,0.00028571428571428574,9.424777838932702,7.656317731227261
0,0.48434898961705675,0.9999468058340303,0.09114222154811294,0.00028571428571428574,8.550364745629128,6.885682740326782
0,0.524603586477042,0.9999468058340303,0.09114222154814444,0.00028571428571428574,7.798711927968545,6.239880310978161
0,0.5682037721647049,0.9999468058340303,0.09114222154811431,0.00028571428571428574,7.15360111089705,5.70241010528497
0,0.6154276010012162,0.9999468058340303,0.09114222154811294,0.00028571428571428574,6.603660925845418,5.259539688063035
0,0.6665762366046448,0.9999468058340303,0.09114222154811294,0.00028571428571428574,6.141081946404969,4.899953661295386
0,0.7219758725204356,0.9999468058340303,0.09114222154811294,0.00028571428571428574,5.754994680128461,4.614464554209622
0,0.7819798124768794,0.9999468058340303,0.09114222154811294,0.00028571428571428574,5.441249429418063,4.395778082178603
0,0.8469707235321319,0.9999468058340303,0.09114222154811294,0.00028571428571428574,5.192177779837006,4.238306776778812
0,0.9173630764819174,0.9999468058340303,0.09114222154826604,0.00028571428571428574,5.006071538834751,4.138027225229748
0,0.9936057890912944,0.9999468058340304,0.09114222154812242,0.00028571428571428574,4.879037131151451,4.092377271661782
0,1.0761850890073335,0.9999468058340303,0.09114222154811373,0.00028571428571428574,4.808583034168681,4.100190553694959
0,1.1656276146105533,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.795680561588367,4.161666701723447
0,1.2625037735803741,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.839482295825814,4.278376439499459
0,1.3674313805933858,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.939533875337636,4.453301716333731
0,1.4810795973533721,0.9999468058340303,0.09114222154811294,0.00028571428571428574,5.010088693099699,4.5379788488210355
0,1.6041732000800895,0.9999468058340303,0.09114222154811288,0.00028571428571428574,4.768065329039653,4.3392872597968
0,1.7374972016721477,0.9999468058340301,0.09114222154842529,0.00028571428571428574,4.5871980660085745,4.200367489384798
0,1.8819018580212057,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.463694014784873,4.117670118987511
0,2.0383080904045854,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.395269059393774,4.089082219802173
0,2.207713358536878,0.99994680583403,0.0911422215484584,0.00028571428571428574,4.379267199972156,4.113873367205177
0,2.3911980217351436,0.9999468058340301,0.0911422215482737,0.00028571428571428574,4.412972777059858,4.192676978306636
0,2.589932228765174,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.420281816833325,4.209219255759022
0,2.8051833803078945,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.312920076801542,4.122194907102591
0,3.038324211636777,0.9999468058340303,0.09114222154811298,0.00028571428571428574,4.256634084530763,4.089395638595374
0,3.2908415470524464,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.2494775795169275,4.109983424568035
0,3.5643457819047217,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.285099251789068,4.168102534253479
0,3.8605811526724074,0.9999468058340303,0.09114222154811294,0.00028571428571428574,4.215315052945713,4.102774094417046
0,4.1814368605968815,0.9999468058340303,0.09114222154811301,0.00028571428571428574,4.187047859412121,4.091174530384713
