,rho0,gamma,eig_CF,eig_FEA
0,0.6177687192954963,0.0,14.822558092229274,17.96865642019167
0,0.6786443543790657,0.0,12.28260563834451,15.415279733218869
0,0.7455187440629881,0.0,10.177892394038372,13.362732916254576
0,0.818983012476085,0.0,8.433836975212564,11.728222544762529
0,0.8996865337938892,0.0,6.988638056944501,10.435522223058413
0,0.988342672264767,0.0,5.791084417984265,9.418269108401633
0,1.085735087864772,0.0,5.65685424949238,8.625036808049696
0,1.1927246633189288,0.0,5.65685424949238,8.013220341442093
0,1.3102571137191017,0.0,5.65685424949238,7.5476595152195385
0,1.439371346002304,0.0,5.65685424949238,7.200888594508079
0,1.5812086421815397,0.0,5.65685424949238,6.945502508841948
0,1.7370227475027051,0.0,5.65685424949238,6.765334392479572
0,1.908190952699988,0.0,5.65685424949238,6.6293712899403365
0,2.0962262683093718,0.0,5.65685424949238,6.449659188086779
0,2.302790798652894,0.0,5.65685424949238,6.215620565398277
0,2.529710433710592,0.0,5.65685424949238,6.046980515499254
0,2.7789909887462754,0.0,5.65685424949238,5.940029928225484
0,3.052835934350467,0.0,5.65685424949238,5.87434350666885
0,3.3536658736220155,0.0,5.65685424949238,5.83451967924043
0,3.6841399386534315,0.0,5.65685424949238,5.736886956116299
0,4.047179295450314,0.0,5.65685424949238,5.678279469782236
0,4.4459929650523895,0.0,5.65685424949238,5.651575461662417
0,4.884106189097302,0.0,5.65685424949238,5.616868850338746
0,5.36539159055945,0.0,5.65685424949238,5.586209751583876
0,5.89410340510362,0.0,5.65685424949238,5.57944041103358
0,6.4749150856352875,0.0,5.65685424949238,5.559213609324657
0,7.112960612446258,0.0,5.65685424949238,5.5598829792699735
0,7.813879874109231,0.0,5.65685424949238,5.538989837423347
0,8.583868520257553,0.0,5.65685424949238,5.545865147972522
0,9.429732726914786,0.0,5.65685424949238,5.555325736801776
0,10.358949358462421,0.0,5.65685424949238,5.572338724141757
0,11.379732058036593,0.0,5.65685424949238,5.565357008809661
0,12.50110385054794,0.0,5.65685424949238,5.593610277097134
0,13.732976900085998,0.0,5.65685424949238,5.589114328578028
0,15.086240126709232,0.0,5.65685424949238,5.629406730241042
0,16.572855457093688,0.0,5.65685424949238,5.626544842785236
0,18.205963559830437,0.0,5.65685424949238,5.683727381837466
0,20.0,0.0,5.65685424949238,5.763494640208636
