,rho0,gamma,eig_CF,eig_FEA
0,3.836416173580824,5.0,7.252684484703382,7.973773835188954
0,4.155263512514519,5.0,6.99434997406421,7.923764707296355
0,4.500610485728042,5.0,6.864940495847362,7.797288814802788
0,4.874659497103173,5.0,6.861149620686124,7.587551215046697
0,5.279795993910424,5.0,6.982880491216532,7.468617957688845
0,5.718603679678214,5.0,6.927850290868219,7.428803979700467
0,6.193880991414692,5.0,6.848482201745307,7.361184450181467
0,6.708658946263436,5.0,6.894312204081403,7.2584997997557075
0,7.266220471407695,5.0,6.901323952116186,7.226677033570115
0,7.870121340497041,5.0,6.847684038379654,7.185846901218077
0,8.52421285011566,5.0,6.919221822908698,7.1349870124322
0,9.232666380908421,5.0,6.850181907974383,7.12860631580189
0,10.0,5.0,6.88616447150627,7.085765453860303
0,0.2,2.0,77.02757268454384,
0,0.21662214548720823,2.0,65.96609421369402,
0,0.23462576957740608,2.0,56.53927543060384,
0,0.25412568796222523,2.0,48.50625998681311,
0,0.2752462587489502,2.0,41.66180314278983,
0,0.2981221755376242,2.0,35.83102815985624,
0,0.3228993264113713,2.0,30.864957962117668,
0,0.3497357243180281,2.0,26.636708795999922,
0,0.3788025147764701,2.0,23.038248330303116,
0,0.41028506733414427,2.0,19.977635431164746,
0,0.4443841577364301,2.0,17.376671022985747,
0,0.4813172483469572,2.0,15.16890012254836,
0,0.5213198749845864,2.0,13.297913889918707,
0,0.5646471490214214,2.0,11.715908378209349,
0,0.6115753843212784,2.0,10.382463136334009,
0,0.6624038593941964,2.0,9.263508461113739,16.64620093853023
0,0.7174567260048892,2.0,8.330454911837627,15.916230503024254
0,0.7770850764070358,2.0,7.559462846588436,15.042319992090901
0,0.8416691823869162,2.0,6.930833315398121,14.064445638229536
0,0.9116209203955907,2.0,6.428504750258059,13.048625611795329
0,0.9873863982355817,2.0,6.039642589528777,12.04168883168494
0,1.0694488000533935,2.0,5.75431135403454,11.09884829641928
0,1.1583314677814325,2.0,5.5652207909431315,10.249220072933788
