,nstiff,mode,rho0,gamma,eig_CF,eig_FEA
0,1,local,0.2166221454871189,3.000000000002044,87.2890536551859,31.391177857037928
0,1,local,0.19999999999992457,3.000000000001627,102.04000000011607,34.77072389824951
0,2,global,10.000000000008908,3.0000000001526996,6.0008163266055785,6.042943020091791
0,2,global,9.232666380908405,3.0000000000003135,6.038967817392569,6.058342853811181
0,2,global,8.524212850115228,2.9999999999963594,6.000167638381659,6.0802084223305375
0,2,global,7.8701213404963895,2.9999999999882307,6.045397647770324,6.105185021658499
0,2,global,7.26622047140744,2.9999999999912608,6.005930971442366,6.130666103275422
0,2,global,6.708658946263399,2.999999999996606,6.022164982971486,6.193242254436855
0,2,global,6.193880991414694,2.9999999999991234,6.065983708438326,6.204218123534249
0,2,global,5.718603679678217,2.9999999999998312,6.000942982654834,6.266535398362677
0,2,global,5.279795993910425,2.999999999999973,6.0381268817976625,6.3683388659984645
0,2,global,4.874659497096378,3.000000000224911,6.1552606631227365,6.383426758079248
0,2,global,4.500610485726805,3.0000000000362848,6.027906043978263,6.455801851557586
0,2,global,4.1552635125145185,3.0000000000000107,6.003464959610416,6.605780095283402
0,2,global,3.8364161736170366,2.999999999028071,6.081312936421708,6.793751269433912
0,2,global,3.5420350628982393,3.0000000000289124,6.263439002415801,6.81370491067128
0,2,global,3.2702428045229226,2.999999999999956,6.169719802964346,6.897361511193877
0,2,global,3.0193060798810754,3.000000000117872,6.0341677928049275,7.0730795491812035
0,2,global,2.7876245737292855,3.0000000000449,6.0016893057994825,7.35418066814446
0,2,global,2.573720768477442,2.9999999992208006,6.071454511895862,7.754519008764513
0,2,global,2.3762305212699273,2.9999999999967883,6.245245922870582,8.281701941649986
0,2,global,2.1938943647017424,2.9999999999966285,6.527503930875989,8.350572290343786
0,2,global,2.025549474424601,2.999999999997338,6.925440266015068,8.43820778449263
0,2,global,1.8701222535386486,2.999999999998271,6.6410779791155585,8.632218293216447
0,2,global,1.726621485853797,2.999999999632221,6.322953544525213,8.957270876549217
0,2,global,1.5941320144905706,2.9999999999822835,6.1152811477152635,9.426067873059845
0,2,global,1.4718089056898782,3.0000000000539586,6.012754731078078,10.055731305948047
0,2,global,1.358872060269724,2.999999999999998,6.012754731053765,10.856744038812586
0,2,global,1.2546012386808052,2.999999999999961,6.115281147721634,11.845585094573993
0,2,global,1.1583314677814345,2.999999999999901,6.322953544628847,13.03271359110549
0,2,global,1.0694488000533966,2.999999999999852,6.641077979115778,14.43662944630842
0,2,global,0.9873863982355855,2.9999999999998206,7.077782572761867,16.06462066549087
0,2,global,0.9116209203955945,2.999999999999812,7.644225185972215,17.92810269886017
0,2,global,0.8416691823963006,2.999999999513104,8.354878501996645,20.040365761946987
0,2,global,0.7770850764143976,2.9999999996086277,9.227899809154307,22.38489136849375
0,2,local,0.7174567260102186,2.9999999997112186,10.285594917091188,24.95860947448298
0,2,local,0.6624038593977115,2.9999999998069398,11.55498807636414,27.706295399233007
0,2,local,0.6115753843233063,2.999999999887782,13.068512450873179,30.564620796163446
0,2,local,0.5646471490223105,2.9999999999507185,14.864838789512982,33.423879997166615
0,2,local,0.5213198749846557,2.999999999996175,16.989863468948553,36.135439114066
0,2,local,0.4813172483464712,3.000000000026525,19.497881152139673,38.546151285610236
0,2,local,0.4443841577355935,3.000000000044905,22.4529720241952,40.512002417323615
0,2,local,0.4102850673331064,3.0000000000544484,25.930639049618343,41.99271925422492
0,2,local,0.3788025147753348,3.0000000000578817,30.019737083083132,43.032065313066894
0,2,local,0.34973572431686395,3.0000000000573683,34.82474312277935,43.73678188330999
0,2,local,0.3228993264102212,3.0000000000545066,40.46842571160047,44.24894295203821
0,2,local,0.29812217553651277,3.000000000050416,47.09498168972985,44.7268320041928
0,2,local,0.27524625874788994,3.0000000000458313,54.873720443070624,45.322241800553854
0,2,local,0.25412568796122087,3.000000000041208,64.00338978055635,46.16904603316323
0,2,local,0.23462576957645753,3.000000000036807,74.71725396708236,47.38901908482917
0,2,local,0.21662214548631276,3.000000000032759,87.28905365647455,49.074814163837736
0,2,local,0.1999999999991535,3.000000000029116,102.04000000157409,51.34468621269129
0,3,global,10.000000000000826,2.9999999999884186,6.000816326524951,6.034600793804008
0,3,global,9.23266638090929,2.9999999999853433,6.038967817383856,6.0484761071920765
0,3,global,8.52421285011649,2.9999999999863203,6.000167638376697,6.069422555023219
0,3,global,7.8701213404976365,2.9999999999907394,6.0453976477715905,6.093348649280825
