,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
546,0.586424,0.590778,-4.060451,7.435960,5,metal,84.610618,3.246195,216830298764508773297929046846341120.000000
547,0.991127,7.389045,-2.417487,0.458831,9,metal,4.751749,1.482911,26.280772
548,0.991127,5.986200,-2.417487,0.458821,9,metal,5.119991,1.489163,37.744049
549,0.955410,7.389042,-3.537379,6.389060,1,metal,7.788165,2.011983,322.525339
550,0.726350,5.986299,-3.537379,6.389059,3,metal,7.660681,1.944697,303.682928
551,0.435633,4.849809,-3.537379,6.389126,3,metal,7.687345,1.842463,345.461816
552,0.435632,3.929079,-3.537379,6.389121,3,metal,7.969413,1.893902,435.071631
553,0.435617,3.183223,-3.537379,6.389037,3,metal,9.009094,1.843926,1293.578507
554,0.435619,2.578915,-3.537379,6.389047,3,metal,10.054234,1.942754,3332.506866
555,0.435604,2.089340,-3.537379,6.388966,3,metal,10.891867,1.935743,7755.237060
556,0.726369,1.692614,-3.537379,6.388931,3,metal,13.291928,1.931053,85894.527137
557,0.588683,1.371320,-3.537379,6.090419,4,metal,16.738043,1.921082,2722226.498632
558,0.589440,1.110997,-3.537379,5.574333,5,metal,21.500821,2.046337,281173904.745048
559,0.671388,0.900086,-3.537379,4.546717,8,metal,25.563447,2.197160,14055608206.082520
560,0.846368,7.389032,-4.060451,9.312205,1,metal,9.327913,2.095206,1383.964336
561,0.846373,5.986271,-4.060451,9.312055,1,metal,9.522970,2.111947,1654.117895
562,0.846373,4.849841,-4.060451,9.312062,1,metal,10.072558,2.110452,2870.111857
563,0.846373,3.929146,-4.060451,9.312067,1,metal,10.591948,2.107072,4840.996412
564,0.846373,3.183237,-4.060451,9.312074,1,metal,12.406894,2.115856,29467.344485
565,0.846397,2.579045,-4.060451,9.311371,1,metal,12.888283,2.257234,41400.535778
566,0.846369,2.089459,-4.060451,9.312176,1,metal,14.512866,2.130680,238514.586477
567,0.706350,1.692589,-4.060451,9.311124,2,metal,18.241442,2.063913,10612349.233116
568,0.706233,1.371339,-4.060451,9.312089,2,metal,24.608572,2.172081,5546823966.607418
569,0.585749,1.111002,-4.060451,8.340968,3,metal,32.045490,2.299931,8285753625128.142578
570,0.585748,0.900087,-4.060451,8.340968,3,metal,45.543146,2.603540,4450759606384153600.000000
571,0.585747,0.729213,-4.060451,8.340968,3,metal,63.688048,2.958532,236861133229838491287814144.000000
572,0.586424,0.590778,-4.060451,7.435960,5,metal,84.610618,3.246195,216830298764508773297929046846341120.000000
573,0.991127,7.389045,-2.417487,0.458831,9,metal,4.771311,1.482911,26.799938
574,0.991127,5.986200,-2.417487,0.458821,9,metal,5.111770,1.489163,37.435027
575,0.991127,4.849844,-2.417487,0.458830,9,metal,4.880933,1.491707,29.643007
576,0.991128,3.929334,-2.417487,0.458778,9,metal,4.902351,1.494915,30.187754
577,0.991127,1.692666,-2.417487,0.458830,9,metal,5.148656,1.555026,36.365842
