,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
980,1.052716,2.088707,-4.038407,7.054662,3,hexcelIM7,11.791508,7.491141,1.574060
981,1.052738,1.692580,-4.038407,7.054477,3,hexcelIM7,15.518541,7.491138,2.071587
982,1.052738,1.371309,-4.038407,7.054477,3,hexcelIM7,21.811399,7.491138,2.911627
983,1.052738,1.110995,-4.038407,7.054477,3,hexcelIM7,30.995256,7.491138,4.137590
984,1.052738,0.900093,-4.038407,7.054477,3,hexcelIM7,41.292113,9.246416,4.465743
985,1.153727,0.729231,-4.038407,6.963798,3,hexcelIM7,45.172571,14.293317,3.160398
986,0.876552,0.590782,-4.038407,6.500360,6,hexcelIM7,75.934192,20.575180,3.690572
987,0.876656,0.417295,-4.038407,6.500179,6,hexcelIM7,117.048690,41.239828,2.838244
988,0.876552,0.387743,-4.038407,6.500360,6,hexcelIM7,125.638337,47.765009,2.630343
989,0.876552,0.314144,-4.038407,6.500360,6,hexcelIM7,147.871176,72.767961,2.032092
990,0.409065,7.389020,-4.954506,16.219977,1,solvay5320,8.864694,7.956267,1.114178
991,0.409089,5.986254,-4.954506,16.219977,1,solvay5320,8.986918,7.956290,1.129536
992,0.409080,4.849871,-4.954506,16.219977,1,solvay5320,9.548118,7.956282,1.200073
993,0.409057,3.929142,-4.954506,16.219977,1,solvay5320,10.212776,7.956259,1.283615
994,0.409047,3.183390,-4.954506,16.219977,1,solvay5320,10.964963,7.956250,1.378157
995,0.419970,2.479527,-4.954506,12.591382,2,solvay5320,12.734381,7.547067,1.687328
996,0.409623,2.089126,-4.954506,12.599793,2,solvay5320,15.920802,7.537252,2.112282
997,0.409605,1.692631,-4.954506,12.599793,2,solvay5320,22.277437,7.537233,2.955652
998,0.410026,1.371326,-4.954506,10.735445,3,solvay5320,30.371903,7.289025,4.166799
999,0.410022,1.111003,-4.954506,10.735445,3,solvay5320,39.954746,7.289021,5.481497
1000,0.670543,0.674019,-4.954506,3.060559,6,solvay5320,48.516391,13.579603,3.572740
1001,0.670541,0.145402,-4.954506,3.060654,7,solvay5320,1015.290037,291.804940,3.479345
1002,0.670539,0.145386,-4.954506,3.060800,7,solvay5320,1015.337872,291.868612,3.478750
1003,0.670543,0.145376,-4.954506,3.060526,7,solvay5320,1015.347275,291.907199,3.478322
1004,0.652641,0.143448,-4.954506,3.576659,9,solvay5320,488.760422,305.074582,1.602101
1005,0.652649,0.143466,-4.954506,3.576305,9,solvay5320,488.679501,304.992519,1.602267
1006,0.652668,0.143370,-4.954506,3.575533,9,solvay5320,489.180252,305.393961,1.601801
1007,0.652640,0.143427,-4.954506,3.576697,9,solvay5320,488.841376,305.164564,1.601894
1008,0.337926,7.389059,-3.940843,0.105184,1,victrexAE,4.218945,4.388494,0.961365
1009,0.337926,5.986308,-3.940843,0.105184,1,victrexAE,4.234218,4.388494,0.964845
1010,0.337926,4.849866,-3.940843,0.105184,1,victrexAE,4.264755,4.388494,0.971804
1011,0.337926,3.929095,-3.940843,0.105187,1,victrexAE,4.336703,4.388495,0.988198
1012,0.337926,3.183218,-3.940843,0.105184,1,victrexAE,4.450217,4.388494,1.014065
1013,0.337926,2.578912,-3.940843,0.105184,1,victrexAE,4.542038,4.388494,1.034988
1014,0.337926,2.089327,-3.940843,0.105184,1,victrexAE,4.821457,4.388494,1.098659
1015,0.337926,1.692685,-3.940843,0.105184,1,victrexAE,5.166217,4.388494,1.177219
1016,0.337926,1.371343,-3.940843,0.105184,1,victrexAE,5.401114,4.388494,1.230744
1017,0.337926,1.111005,-3.940843,0.105185,1,victrexAE,6.159770,4.388494,1.403618
1018,0.337926,0.889646,-3.940843,0.105490,1,victrexAE,7.950212,5.545002,1.433762
1019,0.337926,0.729211,-3.940843,0.105184,1,victrexAE,10.959141,8.252949,1.327906
1020,0.337926,0.590777,-3.940843,0.105184,1,victrexAE,16.319355,12.573854,1.297880
1021,0.337926,0.478623,-3.940843,0.105185,1,victrexAE,23.832458,19.157053,1.244057
1022,0.337926,0.387760,-3.940843,0.105184,1,victrexAE,32.453595,29.186979,1.111920
1023,0.337926,0.314147,-3.940843,0.105184,1,victrexAE,45.581242,44.468186,1.025030
1024,0.337843,0.254509,-3.940843,0.105164,5,victrexAE,69.942516,67.747054,1.032407
1025,0.337843,0.206193,-3.940843,0.105161,5,victrexAE,100.263728,103.216021,0.971397
1026,0.337855,0.167047,-3.940843,0.105156,5,victrexAE,146.063655,157.260306,0.928802
1027,0.337855,0.135334,-3.940843,0.105113,5,victrexAE,205.932998,239.596036,0.859501
1028,1.515602,7.389054,-1.978872,0.525347,1,hexcelIM7,6.064653,6.756835,0.897558
1029,1.515602,4.849848,-1.978872,0.525345,1,hexcelIM7,6.120127,6.756834,0.905768
1030,1.515602,3.929143,-1.978872,0.525345,1,hexcelIM7,6.239830,6.756834,0.923484
1031,1.515602,3.183228,-1.978872,0.525345,1,hexcelIM7,6.351493,6.756834,0.940010
1032,1.515603,2.579149,-1.978872,0.525278,1,hexcelIM7,6.635405,6.756814,0.982032
1033,1.515602,2.089167,-1.978872,0.525333,1,hexcelIM7,6.995310,6.756831,1.035295
1034,1.515602,1.692680,-1.978872,0.525345,1,hexcelIM7,7.357628,6.756834,1.088916
1035,1.515602,1.371340,-1.978872,0.525345,1,hexcelIM7,8.091404,6.756834,1.197514
1036,1.515602,1.111003,-1.978872,0.525345,1,hexcelIM7,9.382191,6.756834,1.388548
1037,1.515602,0.900089,-1.978872,0.525333,1,hexcelIM7,11.481710,8.340118,1.376684
1038,1.515602,0.590779,-1.978872,0.525345,1,hexcelIM7,19.353380,19.359457,0.999686
1039,1.515604,0.470321,-1.978872,0.525158,1,hexcelIM7,26.440511,30.545768,0.865603
1040,1.515603,0.387731,-1.978872,0.525276,1,hexcelIM7,32.751286,44.944948,0.728698
1041,0.921096,7.388736,-1.796749,1.105270,1,hexcelIM7,5.513340,5.964870,0.924302
1042,0.921096,5.985930,-1.796749,1.105226,1,hexcelIM7,5.500037,5.964855,0.922074
1043,0.921096,4.849847,-1.796749,1.105271,1,hexcelIM7,5.543695,5.964871,0.929391
1044,0.921096,3.929141,-1.796749,1.105270,1,hexcelIM7,5.624530,5.964870,0.942943
1045,0.921096,3.183227,-1.796749,1.105262,1,hexcelIM7,5.740810,5.964868,0.962437
1046,0.921096,2.578915,-1.796749,1.105271,1,hexcelIM7,5.992037,5.964871,1.004554
1047,0.921096,2.089439,-1.796749,1.105227,1,hexcelIM7,6.382373,5.964855,1.069996
1048,0.921096,1.692815,-1.796749,1.105264,1,hexcelIM7,6.658669,5.964868,1.116315
1049,0.921096,1.371217,-1.796749,1.105225,1,hexcelIM7,7.344234,5.964855,1.231251
1050,0.921096,1.110969,-1.796749,1.105226,1,hexcelIM7,8.642220,5.964855,1.448857
1051,0.921096,0.900087,-1.796749,1.105270,1,hexcelIM7,10.837182,7.362612,1.471921
1052,1.279125,7.389030,-3.398132,1.905681,1,torayBT250E,6.706951,6.777650,0.989569
1053,1.279124,5.986146,-3.398132,1.905872,1,torayBT250E,6.752507,6.777697,0.996283
1054,1.279125,4.849847,-3.398132,1.905679,1,torayBT250E,6.816907,6.777649,1.005792
1055,1.279125,3.929142,-3.398132,1.905679,1,torayBT250E,6.980823,6.777649,1.029977
1056,1.279125,3.183237,-3.398132,1.905717,1,torayBT250E,7.242847,6.777658,1.068636
1057,1.279125,2.578915,-3.398132,1.905680,1,torayBT250E,7.799200,6.777649,1.150724
1058,1.279125,2.089429,-3.398132,1.905716,1,torayBT250E,8.091682,6.777658,1.193876
1059,1.279125,1.692649,-3.398132,1.905716,1,torayBT250E,8.906814,6.777658,1.314143
1060,1.279124,1.371295,-3.398132,1.905875,1,torayBT250E,10.550422,6.777697,1.556638
1061,1.254471,1.110988,-3.398132,1.905367,2,torayBT250E,16.768568,6.740209,2.487841
1062,1.254462,0.900088,-3.398132,1.905666,2,torayBT250E,23.352449,8.319702,2.806885
1063,1.244355,0.729222,-3.398132,1.905508,3,torayBT250E,32.866360,12.646350,2.598881
1064,1.244348,0.590777,-3.398132,1.905674,3,torayBT250E,43.806648,19.268119,2.273530
1065,1.226911,0.478633,-3.398132,1.905660,5,torayBT250E,61.837388,29.239278,2.114874
1066,1.226912,0.387739,-3.398132,1.905646,5,torayBT250E,85.277427,44.554531,1.914001
1067,1.226910,0.314146,-3.398132,1.905674,5,torayBT250E,115.758493,67.874636,1.705475
1068,1.226910,0.254508,-3.398132,1.905677,5,torayBT250E,154.731094,103.411037,1.496273
1069,1.226910,0.206192,-3.398132,1.905677,5,torayBT250E,209.681769,157.553253,1.330863
1070,1.235255,0.167049,-3.398132,1.905555,5,torayBT250E,284.750544,240.492512,1.184031
1071,0.556062,7.316929,-1.114721,3.009077,1,torayBT250E,4.791887,5.984050,0.800777
1072,0.556049,5.985869,-1.114721,3.010435,1,torayBT250E,4.871568,5.984416,0.814042
