,rho_0,xi,gamma,log10(zeta),eig_FEA
201,5.986300,0.995902,1.105272,-2.890896,5.912166
202,4.849847,0.995902,1.105273,-2.890896,5.974907
203,3.929142,0.995902,1.105272,-2.890896,6.124457
204,3.183243,0.995902,1.105279,-2.890896,6.237124
205,2.578922,0.995902,1.105274,-2.890896,6.649274
206,2.089278,0.995902,1.105273,-2.890896,6.990987
207,1.692681,0.995902,1.105273,-2.890896,7.438578
208,1.371341,0.995902,1.105272,-2.890896,8.468049
209,1.111003,0.995902,1.105272,-2.890896,10.379798
210,0.900088,0.995902,1.105272,-2.890896,13.749048
211,0.729228,0.987022,1.105396,-2.890896,22.694748
212,0.590810,0.983510,1.105504,-2.890896,31.836790
213,0.478631,0.983515,1.105282,-2.890896,43.249660
214,0.387727,0.987022,1.105392,-2.890896,57.424523
215,0.314147,0.987024,1.105277,-2.890896,81.396659
216,7.388739,0.995403,1.905675,-4.198963,6.354236
217,5.986297,0.995403,1.905678,-4.198963,6.391647
218,4.849846,0.995403,1.905678,-4.198963,6.444912
219,3.929143,0.995403,1.905678,-4.198963,6.607908
220,3.183228,0.995403,1.905678,-4.198963,6.829419
221,2.578956,0.995403,1.905678,-4.198963,7.416289
222,2.089056,0.995403,1.905675,-4.198963,7.623838
223,1.692665,0.995403,1.905677,-4.198963,8.344826
224,1.371335,0.995403,1.905677,-4.198963,9.876895
225,1.110966,0.985274,1.905763,-4.198963,16.776827
226,0.900089,0.985275,1.905682,-4.198963,23.911280
227,0.729290,0.981210,1.905813,-4.198963,34.427996
228,0.590809,0.977604,1.905716,-4.198963,48.255914
229,0.478630,0.974340,1.905681,-4.198963,69.605886
230,0.387727,0.994473,0.670290,-4.198963,69.140512
231,0.314137,0.971340,1.905726,-4.198963,143.405382
232,0.254508,0.971341,1.905678,-4.198963,199.645820
233,0.206192,0.971341,1.905678,-4.198963,272.716578
234,0.167048,0.968553,1.905680,-4.198963,395.696368
235,0.099697,0.994479,0.669883,-4.198963,728.834087
236,7.388731,0.984736,3.010467,-3.323650,6.484596
237,5.986300,0.984736,3.010392,-3.323650,6.543795
238,4.849847,0.984736,3.010392,-3.323650,6.622209
239,3.929142,0.984736,3.010392,-3.323650,6.776247
240,3.183226,0.996165,1.233746,-3.323650,6.372671
241,2.136991,0.984829,2.998704,-3.323650,7.837403
242,2.086677,0.965874,3.010353,-3.323650,8.437965
243,1.692660,0.948860,3.010447,-3.323650,10.158167
244,1.371334,0.946751,2.640648,-3.323650,12.667897
245,1.111001,0.946751,2.640647,-3.323650,17.413941
246,0.900088,0.946751,2.640647,-3.323650,24.618648
247,0.729216,0.946751,2.640647,-3.323650,34.038316
248,0.590807,0.946770,2.640105,-3.323650,45.665767
249,0.478630,0.921786,2.952187,-3.323650,67.553478
250,0.387751,0.921848,2.950875,-3.323650,93.872238
251,0.314146,0.921786,2.952176,-3.323650,126.369854
252,0.254508,0.921786,2.952179,-3.323650,174.740405
253,0.206192,0.921829,2.951264,-3.323650,250.033043
254,7.388704,0.952591,4.534946,-2.505907,6.510717
255,5.986300,0.952588,4.535108,-2.505907,6.567527
256,4.849847,0.952588,4.535103,-2.505907,6.685082
257,3.929142,0.952588,4.535102,-2.505907,6.814346
258,3.183225,0.883877,4.535107,-2.505907,7.394872
259,2.578944,0.883878,4.535090,-2.505907,7.746038
260,2.089373,0.883876,4.535121,-2.505907,8.451556
261,1.692641,0.802670,4.535015,-2.505907,9.992709
262,1.371340,0.802661,4.535097,-2.505907,12.587014
263,1.111003,0.802660,4.535106,-2.505907,16.251399
264,0.900087,0.802664,4.535068,-2.505907,21.297034
265,7.388983,0.934880,6.639499,-3.029315,7.067766
266,5.986271,0.829384,6.639493,-3.029315,7.156678
267,4.849725,0.299628,6.638500,-3.029315,7.042578
268,3.929142,0.829383,6.639509,-3.029315,7.697195
269,3.183285,0.829383,6.639518,-3.029315,8.300764
270,2.578914,0.299692,6.639288,-3.029315,8.430860
271,2.089332,0.299613,6.638323,-3.029315,9.582743
272,1.690522,0.616732,6.587299,-3.029315,12.804824
273,1.371341,0.589002,6.603070,-3.029315,17.004990
274,1.110972,0.590335,5.628087,-3.029315,22.208947
275,0.900086,0.590295,5.628087,-3.029315,29.474454
276,0.729213,0.588999,6.603070,-3.029315,35.421342
277,0.590778,0.588975,6.603070,-3.029315,43.623692
278,0.478624,0.588944,6.603070,-3.029315,56.205900
279,0.370096,0.635859,5.591375,-3.029315,88.073085
280,0.314145,0.590297,5.628087,-3.029315,107.598526
281,7.388918,0.755851,6.063251,-2.405787,6.638747
282,5.986116,0.755881,6.063011,-2.405787,6.755462
283,4.849837,0.755851,6.063251,-2.405787,6.874824
284,3.929143,0.755851,6.063251,-2.405787,7.036683
285,3.183229,0.594368,4.439612,-2.405787,6.935892
286,2.150030,0.996100,0.321650,-2.405787,6.439494
287,2.089041,0.996099,0.321666,-2.405787,6.473289
288,1.692585,0.996099,0.321657,-2.405787,6.839194
289,1.371341,0.996099,0.321668,-2.405787,7.603893
290,7.388930,0.590584,6.622979,-2.375938,6.538067
291,5.985972,0.590574,6.622979,-2.375938,6.653481
292,4.849828,0.590578,6.622979,-2.375938,6.766023
293,3.929119,0.590562,6.622979,-2.375938,7.012073
294,3.183229,0.590576,6.622979,-2.375938,7.523281
295,2.578916,0.590580,6.622979,-2.375938,7.864705
296,0.404474,0.759377,4.650873,-2.375938,53.176530
297,0.401379,0.747800,4.722398,-2.375938,53.530957
298,0.397879,0.734820,4.795062,-2.375938,53.912904
299,0.393889,0.720159,4.867986,-2.375938,54.326459
300,0.389296,0.703468,4.939736,-2.375938,54.777072
301,0.383959,0.684319,5.008006,-2.375938,55.271226
302,7.389043,0.999891,0.105165,-2.794234,5.531036
303,5.986281,0.999891,0.105142,-2.794234,5.553404
304,4.849847,0.999891,0.105166,-2.794234,5.623814
305,3.929150,0.999891,0.105141,-2.794234,5.674330
306,3.183243,0.999891,0.105142,-2.794234,5.829080
307,2.578922,0.999891,0.105164,-2.794234,6.015185
308,2.089281,0.999891,0.105165,-2.794234,6.498342
309,1.692681,0.999891,0.105165,-2.794234,6.766734
310,1.371335,0.999891,0.105142,-2.794234,7.360056
311,1.111003,0.999891,0.105170,-2.794234,8.531065
312,0.900088,0.999891,0.105170,-2.794234,10.675779
313,0.729216,0.999891,0.105142,-2.794234,14.407081
314,0.590779,0.999891,0.105165,-2.794234,20.495710
