,rho0,gamma,eig_CF,eig_FEA
64,2.5081530778453525,10.0,9.878056401680976,12.647329814138057
65,2.609247956714763,10.0,10.003510577927747,12.517681096820052
66,2.7144176165949068,10.0,9.652382666762998,12.430246318125468
67,2.8238262976577038,10.0,9.350083671992191,12.371188094162063
68,2.9376448600220075,10.0,9.094724492785312,12.335335402332484
69,3.056051050580516,10.0,8.88470936056309,12.316650164573264
70,3.179229780581548,10.0,8.718725866857552,11.989175567221587
71,3.3073734143991516,10.0,8.595736761922081,11.627933141706638
72,3.4406820699425458,10.0,8.514973472839683,11.30547868490381
73,3.5793639311739995,10.0,8.475931300623348,11.018004087989107
74,3.7236355732232247,10.0,8.478366266294609,10.774776726813938
75,3.8737223006059938,10.0,8.522293586231147,10.563920195213504
76,4.029858499075154,10.0,8.607987767255674,10.391389022137838
77,4.192288001653536,10.0,8.73598432206029,10.256267889626814
78,4.361264469420381,10.0,8.907083115686284,10.15881101652571
79,4.5370517876459004,10.0,8.935217298598584,10.095339646383655
80,4.719924477892671,10.0,8.75785509193569,10.056871958861413
81,4.910168126727387,10.0,8.62373179702476,10.040019422070262
82,5.108079831712464,10.0,8.53200926212813,10.015354229484636
83,5.313968665374029,10.0,8.482114302684082,9.835982977646328
84,5.528156157870829,10.0,8.473735119411295,9.686111523167213
85,5.750976799117826,10.0,8.506819349839617,9.570211712433863
86,5.982778561148657,10.0,8.581573741091045,9.481103795715608
87,6.223923441532677,10.0,8.69846544186602,9.421180435004565
88,6.4747880286952535,10.0,8.657013017650959,9.38542393883904
89,6.73576409002416,10.0,8.5534765896954,9.372614587172139
90,7.007259183680442,10.0,8.491901888965876,9.368885614189452
91,7.289697295069274,10.0,8.471904128148198,9.273294431019764
92,7.583519498964732,10.0,8.493358338958544,9.193681348005342
93,7.889184648322462,10.0,8.556398591202413,9.140636856706342
94,8.20717009085602,10.0,8.615638349295708,9.108819657325023
95,8.53797241449589,10.0,8.526974532583694,9.098947434340513
96,8.88210822289532,10.0,8.480106828725752,9.098783001882914
97,9.240114942194111,10.0,8.474742356105303,9.043477130642598
98,9.612551660300253,10.0,8.51084759152223,8.998855004921403
99,10.0,10.0,8.57642593849958,8.974304441930695
